NP_250241.1|PA1550	96432ae5ac6425755c608d6b69f709f6	179	Pfam	PF05751	FixH	12	155	1.0E-38	T	05-02-2023	IPR008620	Nitrogen fixation protein FixH	-
NP_252393.1|PA3704	aa90a2f97afc6d6b754af6229f084add	769	Pfam	PF01584	CheW-like domain	493	621	3.2E-18	T	05-02-2023	IPR002545	CheW-like domain	GO:0006935|GO:0007165
NP_249189.1|PA0498	f136afaf4cac83ba98c201eddfbe70c1	335	SUPERFAMILY	SSF49401	Bacterial adhesins	208	334	6.96E-14	T	05-02-2023	IPR008966	Adhesion domain superfamily	-
NP_249189.1|PA0498	f136afaf4cac83ba98c201eddfbe70c1	335	Pfam	PF00419	Fimbrial protein	196	335	5.1E-18	T	05-02-2023	IPR000259	Fimbrial-type adhesion domain	GO:0007155|GO:0009289
NP_249725.1|PA1034	4b3061eee71e21ae094c15c35a193c08	66	Pfam	PF02810	SEC-C motif	48	65	2.8E-11	T	05-02-2023	IPR004027	SEC-C motif	-
NP_249725.1|PA1034	4b3061eee71e21ae094c15c35a193c08	66	SUPERFAMILY	SSF103642	Sec-C motif	46	65	2.29E-8	T	05-02-2023	-	-
NP_253267.1|PA4577	4a2ef102f63dae56db517cd1a2b08b3d	108	Pfam	PF01258	Prokaryotic dksA/traR C4-type zinc finger	73	103	1.5E-9	T	05-02-2023	IPR000962	Zinc finger, DksA/TraR C4-type	GO:0008270
NP_253267.1|PA4577	4a2ef102f63dae56db517cd1a2b08b3d	108	PANTHER	PTHR33823	RNA POLYMERASE-BINDING TRANSCRIPTION FACTOR DKSA-RELATED	25	107	2.2E-15	T	05-02-2023	-	-
NP_253267.1|PA4577	4a2ef102f63dae56db517cd1a2b08b3d	108	SUPERFAMILY	SSF57716	Glucocorticoid receptor-like (DNA-binding domain)	75	106	1.24E-7	T	05-02-2023	-	-
NP_248757.1|PA0067	307a6f1ae33acf37e3e3d10714642473	681	FunFam	G3DSA:3.40.390.10:FF:000009	Oligopeptidase A	359	508	2.0E-64	T	05-02-2023	-	-
NP_248757.1|PA0067	307a6f1ae33acf37e3e3d10714642473	681	Pfam	PF01432	Peptidase family M3	224	675	0.0	T	05-02-2023	IPR001567	Peptidase M3A/M3B catalytic domain	GO:0004222|GO:0006508
NP_248757.1|PA0067	307a6f1ae33acf37e3e3d10714642473	681	PANTHER	PTHR43660	DIPEPTIDYL CARBOXYPEPTIDASE	2	677	0.0	T	05-02-2023	IPR045090	Peptidase M3A/M3B	GO:0004222|GO:0006508
NP_248757.1|PA0067	307a6f1ae33acf37e3e3d10714642473	681	FunFam	G3DSA:1.20.1050.40:FF:000002	Oligopeptidase A	14	139	3.7E-59	T	05-02-2023	-	-
NP_248757.1|PA0067	307a6f1ae33acf37e3e3d10714642473	681	SUPERFAMILY	SSF55486	Metalloproteases ("zincins"), catalytic domain	2	675	0.0	T	05-02-2023	-	-
NP_248757.1|PA0067	307a6f1ae33acf37e3e3d10714642473	681	CDD	cd06456	M3A_DCP	21	676	0.0	T	05-02-2023	IPR034005	Peptidyl-dipeptidase DCP	GO:0008233
NP_248757.1|PA0067	307a6f1ae33acf37e3e3d10714642473	681	Pfam	PF19310	Neurolysin/Thimet oligopeptidase, N-terminal domain	28	150	5.6E-27	T	05-02-2023	IPR045666	Oligopeptidase A, N-terminal domain	-
NP_249001.1|PA0310	eb764dc68c666ba3c0c6e05ee849064e	232	PANTHER	PTHR12907	EGL NINE HOMOLOG-RELATED	27	226	4.5E-37	T	05-02-2023	-	-
NP_249001.1|PA0310	eb764dc68c666ba3c0c6e05ee849064e	232	Pfam	PF13640	2OG-Fe(II) oxygenase superfamily	134	222	3.9E-19	T	05-02-2023	IPR044862	Prolyl 4-hydroxylase alpha subunit, Fe(2+) 2OG dioxygenase domain	-
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	Pfam	PF13241	Putative NAD(P)-binding	6	115	1.6E-27	T	05-02-2023	-	-
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	CDD	cd11642	SUMT	222	449	0.0	T	05-02-2023	IPR006366	Uroporphyrin-III C-methyltransferase	GO:0008168|GO:0019354
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	FunFam	G3DSA:3.30.950.10:FF:000001	Siroheme synthase	333	465	6.8E-54	T	05-02-2023	-	-
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	1	113	1.07E-27	T	05-02-2023	IPR036291	NAD(P)-binding domain superfamily	-
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	SUPERFAMILY	SSF75615	Siroheme synthase middle domains-like	114	210	2.62E-28	T	05-02-2023	-	-
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	FunFam	G3DSA:3.40.1010.10:FF:000001	Siroheme synthase	213	332	3.2E-52	T	05-02-2023	-	-
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	Pfam	PF00590	Tetrapyrrole (Corrin/Porphyrin) Methylases	219	428	1.0E-53	T	05-02-2023	IPR000878	Tetrapyrrole methylase	GO:0008168
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	Pfam	PF14824	Sirohaem biosynthesis protein central	120	144	4.4E-7	T	05-02-2023	IPR028281	Siroheme synthase, central domain	-
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	PANTHER	PTHR45790	SIROHEME SYNTHASE-RELATED	191	452	2.1E-102	T	05-02-2023	-	-
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	Pfam	PF10414	Sirohaem synthase dimerisation region	151	207	5.6E-22	T	05-02-2023	IPR019478	Sirohaem synthase, dimerisation domain	GO:0006779
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	FunFam	G3DSA:3.30.160.110:FF:000001	Siroheme synthase	113	148	2.3E-22	T	05-02-2023	-	-
NP_251301.1|PA2611	d3f535e7ca76afc5f91d82976ef84e33	465	SUPERFAMILY	SSF53790	Tetrapyrrole methylase	214	459	3.27E-84	T	05-02-2023	IPR035996	Tetrapyrrole methylase superfamily	GO:0008168
NP_252504.1|PA3815	1df965c74fe08cf678ff5c2716a1800a	163	FunFam	G3DSA:1.10.10.10:FF:000026	HTH-type transcriptional regulator IscR	1	144	8.2E-73	T	05-02-2023	-	-
NP_252504.1|PA3815	1df965c74fe08cf678ff5c2716a1800a	163	Pfam	PF02082	Iron-dependent Transcriptional regulator	3	131	6.8E-39	T	05-02-2023	IPR000944	Transcription regulator Rrf2	-
NP_252504.1|PA3815	1df965c74fe08cf678ff5c2716a1800a	163	SUPERFAMILY	SSF46785	"Winged helix" DNA-binding domain	2	132	1.82E-36	T	05-02-2023	IPR036390	Winged helix DNA-binding domain superfamily	-
NP_252504.1|PA3815	1df965c74fe08cf678ff5c2716a1800a	163	PANTHER	PTHR33221	WINGED HELIX-TURN-HELIX TRANSCRIPTIONAL REGULATOR, RRF2 FAMILY	1	143	2.1E-46	T	05-02-2023	IPR000944	Transcription regulator Rrf2	-
NP_251999.1|PA3309	435bf2c8bd6046df6b5c8f11431d9c5b	151	CDD	cd00293	USP_Like	4	148	6.86994E-27	T	05-02-2023	-	-
NP_251999.1|PA3309	435bf2c8bd6046df6b5c8f11431d9c5b	151	Pfam	PF00582	Universal stress protein family	1	149	2.7E-32	T	05-02-2023	IPR006016	UspA	-
NP_251999.1|PA3309	435bf2c8bd6046df6b5c8f11431d9c5b	151	PANTHER	PTHR46268	STRESS RESPONSE PROTEIN NHAX	60	149	2.6E-24	T	05-02-2023	-	-
NP_251999.1|PA3309	435bf2c8bd6046df6b5c8f11431d9c5b	151	SUPERFAMILY	SSF52402	Adenine nucleotide alpha hydrolases-like	1	150	3.89E-34	T	05-02-2023	-	-
NP_252379.1|PA3689	ef015ded9b6cd07cb520a788897ad77b	156	CDD	cd04784	HTH_CadR-PbrR	1	127	3.5703E-70	T	05-02-2023	IPR011791	Cd(II)/Pb(II)-responsive transcriptional regulator	GO:0003677|GO:0003700|GO:0045893|GO:0046872
NP_252379.1|PA3689	ef015ded9b6cd07cb520a788897ad77b	156	PANTHER	PTHR30204	REDOX-CYCLING DRUG-SENSING TRANSCRIPTIONAL ACTIVATOR SOXR	1	118	1.7E-27	T	05-02-2023	IPR047057	MerR transcriptional regulator	GO:0003700
NP_252379.1|PA3689	ef015ded9b6cd07cb520a788897ad77b	156	SUPERFAMILY	SSF46955	Putative DNA-binding domain	1	113	3.48E-37	T	05-02-2023	IPR009061	Putative DNA-binding domain superfamily	-
NP_252379.1|PA3689	ef015ded9b6cd07cb520a788897ad77b	156	Pfam	PF13411	MerR HTH family regulatory protein	1	68	4.8E-22	T	05-02-2023	IPR000551	MerR-type HTH domain	GO:0003677|GO:0006355
NP_253410.1|PA4722	670dd6aaa958e87db33992aa344f362f	390	CDD	cd00609	AAT_like	35	383	2.41521E-70	T	05-02-2023	-	-
NP_253410.1|PA4722	670dd6aaa958e87db33992aa344f362f	390	Pfam	PF00155	Aminotransferase class I and II	33	381	8.7E-54	T	05-02-2023	IPR004839	Aminotransferase, class I/classII	GO:0009058|GO:0030170
NP_253410.1|PA4722	670dd6aaa958e87db33992aa344f362f	390	PANTHER	PTHR46383	ASPARTATE AMINOTRANSFERASE	4	388	2.0E-111	T	05-02-2023	-	-
NP_253410.1|PA4722	670dd6aaa958e87db33992aa344f362f	390	SUPERFAMILY	SSF53383	PLP-dependent transferases	6	387	1.33E-96	T	05-02-2023	IPR015424	Pyridoxal phosphate-dependent transferase	-
NP_252929.1|PA4239	71795eb63bdb23b8ba831912c0915bac	206	FunFam	G3DSA:1.10.1050.10:FF:000001	30S ribosomal protein S4	3	103	8.0E-41	T	05-02-2023	-	-
NP_252929.1|PA4239	71795eb63bdb23b8ba831912c0915bac	206	CDD	cd00165	S4	97	155	7.07524E-19	T	05-02-2023	-	-
NP_252929.1|PA4239	71795eb63bdb23b8ba831912c0915bac	206	FunFam	G3DSA:3.10.290.10:FF:000001	30S ribosomal protein S4	95	191	2.8E-37	T	05-02-2023	-	-
NP_252929.1|PA4239	71795eb63bdb23b8ba831912c0915bac	206	SUPERFAMILY	SSF55174	Alpha-L RNA-binding motif	3	206	4.97E-72	T	05-02-2023	-	-
NP_252929.1|PA4239	71795eb63bdb23b8ba831912c0915bac	206	Pfam	PF00163	Ribosomal protein S4/S9 N-terminal domain	3	95	7.7E-33	T	05-02-2023	IPR001912	Ribosomal protein S4/S9, N-terminal	GO:0019843
NP_252929.1|PA4239	71795eb63bdb23b8ba831912c0915bac	206	PANTHER	PTHR11831	30S 40S RIBOSOMAL PROTEIN	7	155	5.8E-26	T	05-02-2023	IPR022801	Ribosomal protein S4/S9	GO:0003735|GO:0015935|GO:0019843
NP_252929.1|PA4239	71795eb63bdb23b8ba831912c0915bac	206	Pfam	PF01479	S4 domain	97	143	1.4E-20	T	05-02-2023	IPR002942	RNA-binding S4 domain	GO:0003723
NP_250403.1|PA1712	83a94af08d391410fa61ecc34f15a8a0	137	Pfam	PF09619	Type III secretion system lipoprotein chaperone (YscW)	21	114	1.7E-12	T	05-02-2023	IPR039366	Type 3 secretion system pilotin	-
NP_248860.1|PA0170	5b3c372cb533d77754f810470b6da396	126	Pfam	PF09345	SiaC family regulatory phosphoprotein	6	122	1.0E-38	T	05-02-2023	IPR018530	SiaC family regulatory phosphoprotein	-
NP_248719.1|PA0029	780f1d2a2f867f4114ad4523035cb8e9	517	SUPERFAMILY	SSF52091	SpoIIaa-like	426	503	1.37E-13	T	05-02-2023	IPR036513	STAS domain superfamily	-
NP_248719.1|PA0029	780f1d2a2f867f4114ad4523035cb8e9	517	Pfam	PF13466	STAS domain	449	503	3.2E-8	T	05-02-2023	IPR002645	STAS domain	-
NP_248719.1|PA0029	780f1d2a2f867f4114ad4523035cb8e9	517	PANTHER	PTHR11814	SULFATE TRANSPORTER	3	505	5.1E-98	T	05-02-2023	IPR001902	SLC26A/SulP transporter	GO:0016020|GO:0055085
NP_248719.1|PA0029	780f1d2a2f867f4114ad4523035cb8e9	517	CDD	cd07042	STAS_SulP_like_sulfate_transporter	431	505	4.46902E-17	T	05-02-2023	-	-
NP_248719.1|PA0029	780f1d2a2f867f4114ad4523035cb8e9	517	Pfam	PF00916	Sulfate permease family	27	385	1.3E-71	T	05-02-2023	IPR011547	SLC26A/SulP transporter domain	GO:0016020
NP_252264.1|PA3574	2a4404b3476d6b758615ab8b9c7cfbe0	212	SUPERFAMILY	SSF48498	Tetracyclin repressor-like, C-terminal domain	83	202	7.56E-12	T	05-02-2023	IPR036271	Tetracyclin repressor-like, C-terminal domain superfamily	-
NP_252264.1|PA3574	2a4404b3476d6b758615ab8b9c7cfbe0	212	Pfam	PF00440	Bacterial regulatory proteins, tetR family	15	61	7.9E-18	T	05-02-2023	IPR001647	DNA-binding HTH domain, TetR-type	GO:0003677
NP_252264.1|PA3574	2a4404b3476d6b758615ab8b9c7cfbe0	212	SUPERFAMILY	SSF46689	Homeodomain-like	1	65	7.98E-19	T	05-02-2023	IPR009057	Homeobox-like domain superfamily	-
NP_252264.1|PA3574	2a4404b3476d6b758615ab8b9c7cfbe0	212	PANTHER	PTHR30055	HTH-TYPE TRANSCRIPTIONAL REGULATOR RUTR	2	207	4.4E-26	T	05-02-2023	-	-
NP_252264.1|PA3574	2a4404b3476d6b758615ab8b9c7cfbe0	212	Pfam	PF08361	MAATS-type transcriptional repressor, C-terminal region	83	198	3.0E-13	T	05-02-2023	IPR013572	Transcription regulator MAATS, C-terminal	GO:0003677
NP_252264.1|PA3574	2a4404b3476d6b758615ab8b9c7cfbe0	212	FunFam	G3DSA:1.10.357.10:FF:000003	HTH-type transcriptional regulator AcrR	1	212	1.4E-83	T	05-02-2023	-	-
