id_row	id	md5	protein_len	method	id_method	description	start_loc	end_loc	score	status	date	interpro_access	interpro_description	type	GO
18	NP_388679.1	2555153c83bc52368915bb0852aec5a8	263	SUPERFAMILY	SSF88713	Glycoside hydrolase/deacetylase	33	253	6.43e-66	T	08-02-2023	IPR011330	Glycoside hydrolase/deacetylase, beta/alpha-barrel	HOMOLOGOUS_SUPERFAMILY	GO:0005975
19	NP_390281.2	be6737f1aa093969bcc8aaa45e183d7d	389	PANTHER	PTHR23506	NaN	3	371	1.4e-46	T	08-02-2023	NaN	NaN	NaN	NaN
20	NP_390281.2	be6737f1aa093969bcc8aaa45e183d7d	389	CDD	cd17325	MFS_MdtG_SLC18_like	11	380	2.62579e-62	T	08-02-2023	NaN	NaN	NaN	NaN
21	NP_390281.2	be6737f1aa093969bcc8aaa45e183d7d	389	Pfam	PF07690	Major Facilitator Superfamily	12	337	5.8e-50	T	08-02-2023	IPR011701	Major facilitator superfamily	FAMILY	GO:0022857
21	NP_390281.2	be6737f1aa093969bcc8aaa45e183d7d	389	Pfam	PF07690	Major Facilitator Superfamily	12	337	5.8e-50	T	08-02-2023	IPR011701	Major facilitator superfamily	FAMILY	GO:0055085
22	NP_390281.2	be6737f1aa093969bcc8aaa45e183d7d	389	SUPERFAMILY	SSF103473	MFS general substrate transporter	3	380	2.75e-70	T	08-02-2023	IPR036259	MFS transporter superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
23	NP_390144.1	ab10d6c6d9880de29588f7d6524c6c0c	267	SUPERFAMILY	SSF51366	Ribulose-phoshate binding barrel	6	236	5.46e-77	T	08-02-2023	IPR011060	Ribulose-phosphate binding barrel	HOMOLOGOUS_SUPERFAMILY	NaN
24	NP_390144.1	ab10d6c6d9880de29588f7d6524c6c0c	267	CDD	cd04724	Tryptophan_synthase_alpha	12	238	6.0095e-109	T	08-02-2023	IPR002028	Tryptophan synthase, alpha chain	FAMILY	GO:0004834
24	NP_390144.1	ab10d6c6d9880de29588f7d6524c6c0c	267	CDD	cd04724	Tryptophan_synthase_alpha	12	238	6.0095e-109	T	08-02-2023	IPR002028	Tryptophan synthase, alpha chain	FAMILY	GO:0006568
25	NP_390144.1	ab10d6c6d9880de29588f7d6524c6c0c	267	FunFam	G3DSA:3.20.20.70:FF:000037	Tryptophan synthase alpha chain	1	258	6.8e-80	T	08-02-2023	NaN	NaN	NaN	NaN
26	NP_390144.1	ab10d6c6d9880de29588f7d6524c6c0c	267	Pfam	PF00290	Tryptophan synthase alpha chain	5	256	2e-100	T	08-02-2023	IPR002028	Tryptophan synthase, alpha chain	FAMILY	GO:0004834
26	NP_390144.1	ab10d6c6d9880de29588f7d6524c6c0c	267	Pfam	PF00290	Tryptophan synthase alpha chain	5	256	2e-100	T	08-02-2023	IPR002028	Tryptophan synthase, alpha chain	FAMILY	GO:0006568
27	NP_390144.1	ab10d6c6d9880de29588f7d6524c6c0c	267	PANTHER	PTHR43406	TRYPTOPHAN SYNTHASE, ALPHA CHAIN	9	257	4.8e-78	T	08-02-2023	IPR002028	Tryptophan synthase, alpha chain	FAMILY	GO:0004834
27	NP_390144.1	ab10d6c6d9880de29588f7d6524c6c0c	267	PANTHER	PTHR43406	TRYPTOPHAN SYNTHASE, ALPHA CHAIN	9	257	4.8e-78	T	08-02-2023	IPR002028	Tryptophan synthase, alpha chain	FAMILY	GO:0006568
28	NP_391780.1	d02dbb861bb03822882291658addd3b9	282	Pfam	PF08241	Methyltransferase domain	97	185	2.5e-09	T	08-02-2023	IPR013216	Methyltransferase type 11	DOMAIN	GO:0008168
29	NP_391780.1	d02dbb861bb03822882291658addd3b9	282	CDD	cd02440	AdoMet_MTases	95	185	0.00356951	T	08-02-2023	NaN	NaN	NaN	NaN
30	NP_391780.1	d02dbb861bb03822882291658addd3b9	282	PANTHER	PTHR43460	METHYLTRANSFERASE	91	258	3.1e-09	T	08-02-2023	NaN	NaN	NaN	NaN
31	NP_391780.1	d02dbb861bb03822882291658addd3b9	282	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	9	266	9.9e-26	T	08-02-2023	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
32	NP_388859.1	ea081d0620b8b26289500e00c0f83422	363	Pfam	PF14398	YheC/D like ATP-grasp	98	349	1.2e-65	T	08-02-2023	IPR026838	Endospore coat-associated protein YheC/D	FAMILY	NaN
33	NP_388859.1	ea081d0620b8b26289500e00c0f83422	363	PANTHER	PTHR21621	RIBOSOMAL PROTEIN S6 MODIFICATION PROTEIN	107	326	6.7e-09	T	08-02-2023	NaN	NaN	NaN	NaN
34	NP_388859.1	ea081d0620b8b26289500e00c0f83422	363	SUPERFAMILY	SSF56059	Glutathione synthetase ATP-binding domain-like	107	331	1.63e-20	T	08-02-2023	NaN	NaN	NaN	NaN
35	NP_391383.1	93c6e628b31a5dd7085eac5e38d3cb06	243	Pfam	PF00392	Bacterial regulatory proteins, gntR family	12	74	2.8000000000000004e-22	T	08-02-2023	IPR000524	Transcription regulator HTH, GntR	DOMAIN	GO:0003700
35	NP_391383.1	93c6e628b31a5dd7085eac5e38d3cb06	243	Pfam	PF00392	Bacterial regulatory proteins, gntR family	12	74	2.8000000000000004e-22	T	08-02-2023	IPR000524	Transcription regulator HTH, GntR	DOMAIN	GO:0006355
36	NP_391383.1	93c6e628b31a5dd7085eac5e38d3cb06	243	SUPERFAMILY	SSF46785	Winged helix DNA-binding domain	4	84	9.4e-26	T	08-02-2023	IPR036390	Winged helix DNA-binding domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
37	NP_391383.1	93c6e628b31a5dd7085eac5e38d3cb06	243	FunFam	G3DSA:1.10.10.10:FF:000079	GntR family transcriptional regulator	3	79	1.5999999999999999e-31	T	08-02-2023	NaN	NaN	NaN	NaN
38	NP_391383.1	93c6e628b31a5dd7085eac5e38d3cb06	243	SUPERFAMILY	SSF64288	Chorismate lyase-like	62	240	8.95e-54	T	08-02-2023	IPR028978	Chorismate pyruvate-lyase/UbiC transcription regulator-associated domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
39	NP_391383.1	93c6e628b31a5dd7085eac5e38d3cb06	243	PANTHER	PTHR44846	MANNOSYL-D-GLYCERATE TRANSPORT/METABOLISM SYSTEM REPRESSOR MNGR-RELATED	4	236	1.8e-71	T	08-02-2023	NaN	NaN	NaN	NaN
40	NP_391383.1	93c6e628b31a5dd7085eac5e38d3cb06	243	CDD	cd07377	WHTH_GntR	10	75	1.36481e-29	T	08-02-2023	IPR000524	Transcription regulator HTH, GntR	DOMAIN	GO:0003700
40	NP_391383.1	93c6e628b31a5dd7085eac5e38d3cb06	243	CDD	cd07377	WHTH_GntR	10	75	1.36481e-29	T	08-02-2023	IPR000524	Transcription regulator HTH, GntR	DOMAIN	GO:0006355
41	NP_391383.1	93c6e628b31a5dd7085eac5e38d3cb06	243	Pfam	PF07702	UTRA domain	95	233	1.4e-40	T	08-02-2023	IPR011663	UbiC transcription regulator-associated	DOMAIN	GO:0003677
41	NP_391383.1	93c6e628b31a5dd7085eac5e38d3cb06	243	Pfam	PF07702	UTRA domain	95	233	1.4e-40	T	08-02-2023	IPR011663	UbiC transcription regulator-associated	DOMAIN	GO:0006355
42	NP_389515.1	15835e79240a6e106ee8eafd31ad45ca	120	CDD	cd17542	REC_CheY	3	119	1.02928e-68	T	08-02-2023	NaN	NaN	NaN	NaN
43	NP_389515.1	15835e79240a6e106ee8eafd31ad45ca	120	SUPERFAMILY	SSF52172	CheY-like	4	120	8.25e-41	T	08-02-2023	IPR011006	CheY-like superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
44	NP_389515.1	15835e79240a6e106ee8eafd31ad45ca	120	PANTHER	PTHR43228	TWO-COMPONENT RESPONSE REGULATOR	4	116	5.799999999999999e-35	T	08-02-2023	NaN	NaN	NaN	NaN
45	NP_389515.1	15835e79240a6e106ee8eafd31ad45ca	120	Pfam	PF00072	Response regulator receiver domain	5	116	1.1e-34	T	08-02-2023	IPR001789	Signal transduction response regulator, receiver domain	DOMAIN	GO:0000160
46	NP_388929.1	62d097ee5a1cb1192c9fb52863b8dd35	207	Pfam	PF09335	SNARE associated Golgi protein	43	160	7.5e-19	T	08-02-2023	IPR032816	SNARE associated Golgi protein	FAMILY	NaN
47	NP_388929.1	62d097ee5a1cb1192c9fb52863b8dd35	207	PANTHER	PTHR12677	UNCHARACTERIZED	7	194	5.8e-33	T	08-02-2023	IPR015414	Transmembrane protein TMEM64	FAMILY	GO:0016020
48	NP_388394.1	0b557623b9cc61d9e3d4f5201f632903	153	FunFam	G3DSA:1.20.58.1290:FF:000002	Transcriptional regulator, CarD	63	153	4.2e-52	T	08-02-2023	NaN	NaN	NaN	NaN
49	NP_388394.1	0b557623b9cc61d9e3d4f5201f632903	153	SUPERFAMILY	SSF141259	CarD-like	1	59	1.7e-12	T	08-02-2023	IPR036101	CarD-like/TRCF, RNAP-interacting domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
50	NP_388394.1	0b557623b9cc61d9e3d4f5201f632903	153	Pfam	PF02559	CarD-like/TRCF domain	2	110	1.8e-18	T	08-02-2023	IPR003711	CarD-like/TRCF, RNAP-interacting domain	DOMAIN	NaN
51	NP_388394.1	0b557623b9cc61d9e3d4f5201f632903	153	PANTHER	PTHR38447	TRANSCRIPTION FACTOR YDEB-RELATED	1	152	4.1000000000000005e-59	T	08-02-2023	NaN	NaN	NaN	NaN
52	NP_388394.1	0b557623b9cc61d9e3d4f5201f632903	153	FunFam	G3DSA:2.40.10.170:FF:000008	Transcriptional regulator, CarD	1	62	7.2e-37	T	08-02-2023	NaN	NaN	NaN	NaN
53	NP_389780.1	23f627ba10d9b5c6d06ed16d64837bf3	152	Pfam	PF14567	SMI1-KNR4 cell-wall	7	137	3.9e-37	T	08-02-2023	NaN	NaN	NaN	NaN
54	NP_389780.1	23f627ba10d9b5c6d06ed16d64837bf3	152	SUPERFAMILY	SSF160631	SMI1/KNR4-like	1	150	2.6199999999999997e-42	T	08-02-2023	IPR037883	Knr4/Smi1-like domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
55	NP_389276.1	1bc6aca6e63bae52fac72ef4a8e74424	342	FunFam	G3DSA:3.40.50.12110:FF:000001	Spore photoproduct lyase	3	115	1e-66	T	08-02-2023	NaN	NaN	NaN	NaN
56	NP_389276.1	1bc6aca6e63bae52fac72ef4a8e74424	342	PANTHER	PTHR37822	SPORE PHOTOPRODUCT LYASE-RELATED	8	340	4.2e-107	T	08-02-2023	NaN	NaN	NaN	NaN
57	NP_389276.1	1bc6aca6e63bae52fac72ef4a8e74424	342	CDD	cd01335	Radical_SAM	85	297	7.93085e-11	T	08-02-2023	NaN	NaN	NaN	NaN
58	NP_389276.1	1bc6aca6e63bae52fac72ef4a8e74424	342	SUPERFAMILY	SSF102114	Radical SAM enzymes	85	310	2.62e-06	T	08-02-2023	NaN	NaN	NaN	NaN
59	NP_389276.1	1bc6aca6e63bae52fac72ef4a8e74424	342	FunFam	G3DSA:3.80.30.30:FF:000001	Spore photoproduct lyase	116	342	3.5e-126	T	08-02-2023	NaN	NaN	NaN	NaN
60	YP_003097758.1	c078fbed66e6bfa8d859ae2728462f82	203	Pfam	PF14097	Stage V sporulation protein AE1	6	185	1.0999999999999999e-83	T	08-02-2023	IPR025914	Stage V sporulation protein AE	FAMILY	NaN
61	NP_391824.1	78371c3a25864ca8b4893d5b67dd9021	370	Pfam	PF04346	Ethanolamine utilisation protein, EutH	3	353	0.0	T	08-02-2023	IPR007441	Ethanolamine utilisation protein EutH	FAMILY	GO:0016020
61	NP_391824.1	78371c3a25864ca8b4893d5b67dd9021	370	Pfam	PF04346	Ethanolamine utilisation protein, EutH	3	353	0.0	T	08-02-2023	IPR007441	Ethanolamine utilisation protein EutH	FAMILY	GO:0034228
61	NP_391824.1	78371c3a25864ca8b4893d5b67dd9021	370	Pfam	PF04346	Ethanolamine utilisation protein, EutH	3	353	0.0	T	08-02-2023	IPR007441	Ethanolamine utilisation protein EutH	FAMILY	GO:0034229
62	NP_391824.1	78371c3a25864ca8b4893d5b67dd9021	370	PANTHER	PTHR40089	ETHANOLAMINE UTILIZATION PROTEIN EUTH	1	369	0.0	T	08-02-2023	IPR007441	Ethanolamine utilisation protein EutH	FAMILY	GO:0016020
62	NP_391824.1	78371c3a25864ca8b4893d5b67dd9021	370	PANTHER	PTHR40089	ETHANOLAMINE UTILIZATION PROTEIN EUTH	1	369	0.0	T	08-02-2023	IPR007441	Ethanolamine utilisation protein EutH	FAMILY	GO:0034228
62	NP_391824.1	78371c3a25864ca8b4893d5b67dd9021	370	PANTHER	PTHR40089	ETHANOLAMINE UTILIZATION PROTEIN EUTH	1	369	0.0	T	08-02-2023	IPR007441	Ethanolamine utilisation protein EutH	FAMILY	GO:0034229
63	NP_389853.1	e8b5e469e582f8be6b455442e691b29a	217	Pfam	PF01144	Coenzyme A transferase	9	203	2.0000000000000002e-36	T	08-02-2023	IPR004165	Coenzyme A transferase family I	FAMILY	GO:0008410
64	NP_389853.1	e8b5e469e582f8be6b455442e691b29a	217	PANTHER	PTHR13707	KETOACID-COENZYME A TRANSFERASE	6	213	2.3e-90	T	08-02-2023	IPR004165	Coenzyme A transferase family I	FAMILY	GO:0008410
65	NP_389853.1	e8b5e469e582f8be6b455442e691b29a	217	SUPERFAMILY	SSF100950	NagB/RpiA/CoA transferase-like	7	215	1.41e-65	T	08-02-2023	IPR037171	NagB/RpiA transferase-like	HOMOLOGOUS_SUPERFAMILY	NaN
66	NP_388056.2	c80099e19704504bea3b079f840fb2ca	273	FunFam	G3DSA:3.40.1700.10:FF:000002	Diadenylate cyclase	94	262	3.9e-78	T	08-02-2023	NaN	NaN	NaN	NaN
67	NP_388056.2	c80099e19704504bea3b079f840fb2ca	273	Pfam	PF02457	DisA bacterial checkpoint controller nucleotide-binding	118	235	1.1e-43	T	08-02-2023	IPR003390	DNA integrity scanning protein, DisA, N-terminal	DOMAIN	NaN
68	NP_388056.2	c80099e19704504bea3b079f840fb2ca	273	SUPERFAMILY	SSF143597	YojJ-like	40	240	6.15e-73	T	08-02-2023	IPR036888	DNA integrity scanning protein, DisA, N-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
69	NP_388056.2	c80099e19704504bea3b079f840fb2ca	273	PANTHER	PTHR34185	DIADENYLATE CYCLASE	14	271	9.3e-87	T	08-02-2023	NaN	NaN	NaN	NaN
70	NP_388056.2	c80099e19704504bea3b079f840fb2ca	273	Pfam	PF19293	CdaA N-terminal transmembrane domain	14	84	5.9e-09	T	08-02-2023	IPR045585	Diadenylate cyclase CdaA, N-terminal domain	DOMAIN	NaN
71	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	663	975	6.84e-78	T	08-02-2023	IPR029052	Metallo-dependent phosphatase-like	HOMOLOGOUS_SUPERFAMILY	NaN
72	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	663	975	6.84e-78	T	08-02-2023	IPR029052	Metallo-dependent phosphatase-like	HOMOLOGOUS_SUPERFAMILY	NaN
73	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	PANTHER	PTHR11575	5'-NUCLEOTIDASE-RELATED	17	609	0.0	T	08-02-2023	IPR006179	5'-Nucleotidase/apyrase	FAMILY	GO:0009166
73	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	PANTHER	PTHR11575	5'-NUCLEOTIDASE-RELATED	17	609	0.0	T	08-02-2023	IPR006179	5'-Nucleotidase/apyrase	FAMILY	GO:0016787
74	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	CDD	cd07410	MPP_CpdB_N	45	346	0.0	T	08-02-2023	IPR041827	CpdB, N-terminal metallophosphatase domain	DOMAIN	NaN
75	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	FunFam	G3DSA:3.90.780.10:FF:000015	Trifunctional nucleotide phosphoesterase protein YfkN	977	1178	1.7999999999999998e-68	T	08-02-2023	NaN	NaN	NaN	NaN
76	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	FunFam	G3DSA:3.90.780.10:FF:000015	Trifunctional nucleotide phosphoesterase protein YfkN	375	611	3.4e-78	T	08-02-2023	NaN	NaN	NaN	NaN
77	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	40	373	1.82e-85	T	08-02-2023	IPR029052	Metallo-dependent phosphatase-like	HOMOLOGOUS_SUPERFAMILY	NaN
78	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF56300	Metallo-dependent phosphatases	40	373	1.82e-85	T	08-02-2023	IPR029052	Metallo-dependent phosphatase-like	HOMOLOGOUS_SUPERFAMILY	NaN
79	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF55816	5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain	975	1175	3.7899999999999995e-61	T	08-02-2023	IPR036907	5'-Nucleotidase, C-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0009166
79	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF55816	5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain	975	1175	3.7899999999999995e-61	T	08-02-2023	IPR036907	5'-Nucleotidase, C-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0016787
80	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF55816	5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain	975	1175	3.7899999999999995e-61	T	08-02-2023	IPR036907	5'-Nucleotidase, C-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0009166
80	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF55816	5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain	975	1175	3.7899999999999995e-61	T	08-02-2023	IPR036907	5'-Nucleotidase, C-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0016787
81	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	Pfam	PF00149	Calcineurin-like phosphoesterase	46	284	1.1e-15	T	08-02-2023	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	DOMAIN	GO:0016787
82	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	Pfam	PF00149	Calcineurin-like phosphoesterase	669	898	3.3e-16	T	08-02-2023	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	DOMAIN	GO:0016787
83	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF55816	5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain	375	611	9.290000000000001e-47	T	08-02-2023	IPR036907	5'-Nucleotidase, C-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0009166
83	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF55816	5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain	375	611	9.290000000000001e-47	T	08-02-2023	IPR036907	5'-Nucleotidase, C-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0016787
84	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF55816	5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain	375	611	9.290000000000001e-47	T	08-02-2023	IPR036907	5'-Nucleotidase, C-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0009166
84	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	SUPERFAMILY	SSF55816	5'-nucleotidase (syn. UDP-sugar hydrolase), C-terminal domain	375	611	9.290000000000001e-47	T	08-02-2023	IPR036907	5'-Nucleotidase, C-terminal domain superfamily	HOMOLOGOUS_SUPERFAMILY	GO:0016787
85	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	Pfam	PF02872	5'-nucleotidase, C-terminal domain	978	1139	3.7e-45	T	08-02-2023	IPR008334	5'-Nucleotidase, C-terminal	DOMAIN	GO:0009166
85	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	Pfam	PF02872	5'-nucleotidase, C-terminal domain	978	1139	3.7e-45	T	08-02-2023	IPR008334	5'-Nucleotidase, C-terminal	DOMAIN	GO:0016787
86	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	Pfam	PF02872	5'-nucleotidase, C-terminal domain	375	572	2e-24	T	08-02-2023	IPR008334	5'-Nucleotidase, C-terminal	DOMAIN	GO:0009166
86	NP_388665.1	c5d4dbbff0cb9ebcc6be38e6c0a0b15b	1462	Pfam	PF02872	5'-nucleotidase, C-terminal domain	375	572	2e-24	T	08-02-2023	IPR008334	5'-Nucleotidase, C-terminal	DOMAIN	GO:0016787
87	NP_391613.2	d0b9e28086c7dc6911c9fbdae20e629a	395	CDD	cd17341	MFS_NRT2_like	9	379	1.14245e-102	T	08-02-2023	IPR044772	Nitrate transporter	FAMILY	GO:0015112
88	NP_391613.2	d0b9e28086c7dc6911c9fbdae20e629a	395	Pfam	PF07690	Major Facilitator Superfamily	16	341	3.9e-43	T	08-02-2023	IPR011701	Major facilitator superfamily	FAMILY	GO:0022857
88	NP_391613.2	d0b9e28086c7dc6911c9fbdae20e629a	395	Pfam	PF07690	Major Facilitator Superfamily	16	341	3.9e-43	T	08-02-2023	IPR011701	Major facilitator superfamily	FAMILY	GO:0055085
89	NP_391613.2	d0b9e28086c7dc6911c9fbdae20e629a	395	PANTHER	PTHR23515	HIGH-AFFINITY NITRATE TRANSPORTER 2.3	6	381	9.5e-51	T	08-02-2023	IPR044772	Nitrate transporter	FAMILY	GO:0015112
90	NP_391613.2	d0b9e28086c7dc6911c9fbdae20e629a	395	SUPERFAMILY	SSF103473	MFS general substrate transporter	7	387	4.1899999999999995e-61	T	08-02-2023	IPR036259	MFS transporter superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
91	NP_390965.1	1344dec0fab4be4ac9a4d19d61580a15	316	SUPERFAMILY	SSF51735	NAD(P)-binding Rossmann-fold domains	1	313	1.1e-87	T	08-02-2023	IPR036291	NAD(P)-binding domain superfamily	HOMOLOGOUS_SUPERFAMILY	NaN
