id_protein	md5	seq_len	analysis	id_analysis	desc_analysis	start	stop	score	status	date	id_inter	desc_inter	id_go	type
YP_177937.1	d97d234cdbf146ce63d6c9bde6d0f942	590	Pfam	PF00823	PPE family	5	162	1.2e-55	T	08-02-2023	IPR000030	PPE family	NaN	DOMAIN
YP_177937.1	d97d234cdbf146ce63d6c9bde6d0f942	590	PANTHER	PTHR46766	GLUTAMINE-RICH PROTEIN 2	1	519	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	Pfam	PF00795	Carbon-nitrogen hydrolase	286	486	2.1e-14	T	08-02-2023	IPR003010	Carbon-nitrogen hydrolase	GO:0006807	DOMAIN
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	CDD	cd07571	ALP_N-acyl_transferase	241	514	2.4252000000000002e-86	T	08-02-2023	IPR004563	Apolipoprotein N-acyltransferase	GO:0016020	FAMILY
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	CDD	cd07571	ALP_N-acyl_transferase	241	514	2.4252000000000002e-86	T	08-02-2023	IPR004563	Apolipoprotein N-acyltransferase	GO:0016410	FAMILY
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	CDD	cd07571	ALP_N-acyl_transferase	241	514	2.4252000000000002e-86	T	08-02-2023	IPR004563	Apolipoprotein N-acyltransferase	GO:0042158	FAMILY
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	Pfam	PF00535	Glycosyl transferase family 2	614	779	7.9e-29	T	08-02-2023	IPR001173	Glycosyltransferase 2-like	NaN	DOMAIN
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	PANTHER	PTHR38686	APOLIPOPROTEIN N-ACYLTRANSFERASE	17	529	5.3e-87	T	08-02-2023	IPR004563	Apolipoprotein N-acyltransferase	GO:0016020	FAMILY
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	PANTHER	PTHR38686	APOLIPOPROTEIN N-ACYLTRANSFERASE	17	529	5.3e-87	T	08-02-2023	IPR004563	Apolipoprotein N-acyltransferase	GO:0016410	FAMILY
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	PANTHER	PTHR38686	APOLIPOPROTEIN N-ACYLTRANSFERASE	17	529	5.3e-87	T	08-02-2023	IPR004563	Apolipoprotein N-acyltransferase	GO:0042158	FAMILY
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	CDD	cd06442	DPM1_like	614	839	1.95628e-97	T	08-02-2023	IPR039528	DPM1-like	GO:0004582	FAMILY
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	FunFam	G3DSA:3.90.550.10:FF:000122	Dolichol-phosphate mannosyltransferase subunit 1	600	853	7.3e-121	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	Pfam	PF20154	Apolipoprotein N-acyltransferase N-terminal domain	31	182	9.700000000000001e-30	T	08-02-2023	IPR045378	Apolipoprotein N-acyltransferase, N-terminal	NaN	DOMAIN
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	SUPERFAMILY	SSF53448	Nucleotide-diphospho-sugar transferases	612	841	8.72e-40	T	08-02-2023	IPR029044	Nucleotide-diphospho-sugar transferases	NaN	HOMOLOGOUS_SUPERFAMILY
NP_216567.1	8a2cfb0e10f675a02881618445b45c5b	874	SUPERFAMILY	SSF56317	Carbon-nitrogen hydrolase	239	509	5.89e-44	T	08-02-2023	IPR036526	Carbon-nitrogen hydrolase superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_217043.1	bc97eb9fa6abdbfa37e7609cb80279c0	133	PANTHER	PTHR33653	RIBONUCLEASE VAPC2	1	122	1e-23	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217043.1	bc97eb9fa6abdbfa37e7609cb80279c0	133	Pfam	PF01850	PIN domain	27	119	2.8e-05	T	08-02-2023	IPR002716	PIN domain	NaN	DOMAIN
NP_217043.1	bc97eb9fa6abdbfa37e7609cb80279c0	133	SUPERFAMILY	SSF88723	PIN domain-like	1	120	1.82e-08	T	08-02-2023	IPR029060	PIN-like domain superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_216584.1	f6fbd6369c0cb55aea72290fe7c05db7	307	FunFam	G3DSA:3.40.710.10:FF:000033	Beta-lactamase	42	307	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216584.1	f6fbd6369c0cb55aea72290fe7c05db7	307	SUPERFAMILY	SSF56601	beta-lactamase/transpeptidase-like	43	301	8.53e-69	T	08-02-2023	IPR012338	Beta-lactamase/transpeptidase-like	NaN	HOMOLOGOUS_SUPERFAMILY
NP_216584.1	f6fbd6369c0cb55aea72290fe7c05db7	307	Pfam	PF13354	Beta-lactamase enzyme family	60	278	7.7e-43	T	08-02-2023	IPR045155	Beta-lactamase class A, catalytic domain	GO:0008800	DOMAIN
NP_216584.1	f6fbd6369c0cb55aea72290fe7c05db7	307	Pfam	PF13354	Beta-lactamase enzyme family	60	278	7.7e-43	T	08-02-2023	IPR045155	Beta-lactamase class A, catalytic domain	GO:0017001	DOMAIN
NP_216584.1	f6fbd6369c0cb55aea72290fe7c05db7	307	Pfam	PF13354	Beta-lactamase enzyme family	60	278	7.7e-43	T	08-02-2023	IPR045155	Beta-lactamase class A, catalytic domain	GO:0030655	DOMAIN
NP_216584.1	f6fbd6369c0cb55aea72290fe7c05db7	307	PANTHER	PTHR35333	BETA-LACTAMASE	1	306	1.6e-66	T	08-02-2023	IPR000871	Beta-lactamase, class-A	GO:0008800	FAMILY
NP_216584.1	f6fbd6369c0cb55aea72290fe7c05db7	307	PANTHER	PTHR35333	BETA-LACTAMASE	1	306	1.6e-66	T	08-02-2023	IPR000871	Beta-lactamase, class-A	GO:0030655	FAMILY
NP_216584.1	f6fbd6369c0cb55aea72290fe7c05db7	307	PANTHER	PTHR35333	BETA-LACTAMASE	1	306	1.6e-66	T	08-02-2023	IPR000871	Beta-lactamase, class-A	GO:0046677	FAMILY
NP_216560.1	de50f24777649450adeb2064df80cebe	105	Pfam	PF10861	Protein of Unknown function (DUF2784)	1	99	1.2000000000000001e-30	T	08-02-2023	IPR021218	Protein of unknown function DUF2784	NaN	FAMILY
NP_217254.1	8c4a85be3ce54f75f4121da0ec6fb191	68	Pfam	PF11248	Protein of unknown function (DUF3046)	5	65	3.0000000000000005e-28	T	08-02-2023	IPR021408	Protein of unknown function DUF3046	NaN	FAMILY
NP_217691.1	48b76aa83151fd0d349bb875c79406c7	495	PANTHER	PTHR43372	FATTY-ACID AMIDE HYDROLASE	7	494	3.1e-112	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217691.1	48b76aa83151fd0d349bb875c79406c7	495	SUPERFAMILY	SSF75304	Amidase signature (AS) enzymes	8	487	1.31e-112	T	08-02-2023	IPR036928	Amidase signature (AS) superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
NP_217691.1	48b76aa83151fd0d349bb875c79406c7	495	Pfam	PF01425	Amidase	32	476	0.0	T	08-02-2023	IPR023631	Amidase signature domain	NaN	DOMAIN
NP_215280.1	8269dfc1d915dfad6a642894f6084543	402	CDD	cd11078	CYP130-like	24	399	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215280.1	8269dfc1d915dfad6a642894f6084543	402	PANTHER	PTHR46696	P450, PUTATIVE (EUROFUNG)-RELATED	10	401	2.5e-120	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215280.1	8269dfc1d915dfad6a642894f6084543	402	Pfam	PF00067	Cytochrome P450	206	372	1.5999999999999999e-24	T	08-02-2023	IPR001128	Cytochrome P450	GO:0004497	FAMILY
NP_215280.1	8269dfc1d915dfad6a642894f6084543	402	Pfam	PF00067	Cytochrome P450	206	372	1.5999999999999999e-24	T	08-02-2023	IPR001128	Cytochrome P450	GO:0005506	FAMILY
NP_215280.1	8269dfc1d915dfad6a642894f6084543	402	Pfam	PF00067	Cytochrome P450	206	372	1.5999999999999999e-24	T	08-02-2023	IPR001128	Cytochrome P450	GO:0016705	FAMILY
NP_215280.1	8269dfc1d915dfad6a642894f6084543	402	Pfam	PF00067	Cytochrome P450	206	372	1.5999999999999999e-24	T	08-02-2023	IPR001128	Cytochrome P450	GO:0020037	FAMILY
NP_215280.1	8269dfc1d915dfad6a642894f6084543	402	SUPERFAMILY	SSF48264	Cytochrome P450	13	402	3.01e-91	T	08-02-2023	IPR036396	Cytochrome P450 superfamily	GO:0004497	HOMOLOGOUS_SUPERFAMILY
NP_215280.1	8269dfc1d915dfad6a642894f6084543	402	SUPERFAMILY	SSF48264	Cytochrome P450	13	402	3.01e-91	T	08-02-2023	IPR036396	Cytochrome P450 superfamily	GO:0005506	HOMOLOGOUS_SUPERFAMILY
NP_215280.1	8269dfc1d915dfad6a642894f6084543	402	SUPERFAMILY	SSF48264	Cytochrome P450	13	402	3.01e-91	T	08-02-2023	IPR036396	Cytochrome P450 superfamily	GO:0016705	HOMOLOGOUS_SUPERFAMILY
NP_215280.1	8269dfc1d915dfad6a642894f6084543	402	SUPERFAMILY	SSF48264	Cytochrome P450	13	402	3.01e-91	T	08-02-2023	IPR036396	Cytochrome P450 superfamily	GO:0020037	HOMOLOGOUS_SUPERFAMILY
NP_215280.1	8269dfc1d915dfad6a642894f6084543	402	FunFam	G3DSA:1.10.630.10:FF:000018	Cytochrome P450 monooxygenase	7	400	6.400000000000001e-123	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217126.1	4def2a418d78ac195477cf80bc24b14d	378	Pfam	PF13692	Glycosyl transferases group 1	189	333	4.1e-31	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217126.1	4def2a418d78ac195477cf80bc24b14d	378	CDD	cd03801	GT4_PimA-like	2	365	5.37269e-71	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217126.1	4def2a418d78ac195477cf80bc24b14d	378	Pfam	PF13439	Glycosyltransferase Family 4	15	173	4.0999999999999994e-24	T	08-02-2023	IPR028098	Glycosyltransferase subfamily 4-like, N-terminal domain	NaN	DOMAIN
NP_217126.1	4def2a418d78ac195477cf80bc24b14d	378	SUPERFAMILY	SSF53756	UDP-Glycosyltransferase/glycogen phosphorylase	2	368	1.77e-71	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217126.1	4def2a418d78ac195477cf80bc24b14d	378	PANTHER	PTHR45947	SULFOQUINOVOSYL TRANSFERASE SQD2	1	371	2.7000000000000004e-44	T	08-02-2023	NaN	NaN	NaN	NaN
NP_217126.1	4def2a418d78ac195477cf80bc24b14d	378	FunFam	G3DSA:3.40.50.2000:FF:000207	Phosphatidyl-myo-inositol mannosyltransferase	171	351	7.1e-108	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215854.1	18fa6954387934908f0b253dce215d20	271	SUPERFAMILY	SSF53681	Aspartate/glutamate racemase	111	257	5.23e-39	T	08-02-2023	IPR001920	Asp/Glu racemase	GO:0016855	HOMOLOGOUS_SUPERFAMILY
NP_215854.1	18fa6954387934908f0b253dce215d20	271	SUPERFAMILY	SSF53681	Aspartate/glutamate racemase	111	257	5.23e-39	T	08-02-2023	IPR001920	Asp/Glu racemase	GO:0016855	HOMOLOGOUS_SUPERFAMILY
NP_215854.1	18fa6954387934908f0b253dce215d20	271	SUPERFAMILY	SSF53681	Aspartate/glutamate racemase	7	109	2.81e-31	T	08-02-2023	IPR001920	Asp/Glu racemase	GO:0016855	HOMOLOGOUS_SUPERFAMILY
NP_215854.1	18fa6954387934908f0b253dce215d20	271	SUPERFAMILY	SSF53681	Aspartate/glutamate racemase	7	109	2.81e-31	T	08-02-2023	IPR001920	Asp/Glu racemase	GO:0016855	HOMOLOGOUS_SUPERFAMILY
NP_215854.1	18fa6954387934908f0b253dce215d20	271	FunFam	G3DSA:3.40.50.1860:FF:000001	Glutamate racemase	97	208	5.7e-37	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215854.1	18fa6954387934908f0b253dce215d20	271	PANTHER	PTHR21198	GLUTAMATE RACEMASE	7	221	1.7e-33	T	08-02-2023	NaN	NaN	NaN	NaN
NP_215854.1	18fa6954387934908f0b253dce215d20	271	Pfam	PF01177	Asp/Glu/Hydantoin racemase	17	214	8.2e-21	T	08-02-2023	IPR015942	Asp/Glu/hydantoin racemase	GO:0006807	FAMILY
NP_215854.1	18fa6954387934908f0b253dce215d20	271	Pfam	PF01177	Asp/Glu/Hydantoin racemase	17	214	8.2e-21	T	08-02-2023	IPR015942	Asp/Glu/hydantoin racemase	GO:0036361	FAMILY
NP_216814.1	715e66ed047d991278fed6f794667554	323	PANTHER	PTHR43625	AFLATOXIN B1 ALDEHYDE REDUCTASE	11	301	4.6e-51	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216814.1	715e66ed047d991278fed6f794667554	323	CDD	cd19093	AKR_AtPLR-like	11	296	1.3128500000000002e-120	T	08-02-2023	NaN	NaN	NaN	NaN
NP_216814.1	715e66ed047d991278fed6f794667554	323	Pfam	PF00248	Aldo/keto reductase family	14	297	2.9999999999999997e-53	T	08-02-2023	IPR023210	NADP-dependent oxidoreductase domain	NaN	DOMAIN
NP_216814.1	715e66ed047d991278fed6f794667554	323	SUPERFAMILY	SSF51430	NAD(P)-linked oxidoreductase	11	303	3.54e-72	T	08-02-2023	IPR036812	NADP-dependent oxidoreductase domain superfamily	NaN	HOMOLOGOUS_SUPERFAMILY
YP_178001.1	a0692bed47598322a567c7db5f9af7da	104	Pfam	PF00934	PE family	4	60	1.7e-16	T	08-02-2023	IPR000084	PE-PGRS family, N-terminal	NaN	DOMAIN
YP_178001.1	a0692bed47598322a567c7db5f9af7da	104	SUPERFAMILY	SSF140459	PE/PPE dimer-like	8	59	1.26e-13	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214997.1	8973072dba0ce5449dd627d41ed5df0a	451	FunFam	G3DSA:2.60.40.3780:FF:000001	L,D-transpeptidase 2	62	156	2e-33	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214997.1	8973072dba0ce5449dd627d41ed5df0a	451	PANTHER	PTHR30582	L,D-TRANSPEPTIDASE	167	390	1.3000000000000001e-30	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214997.1	8973072dba0ce5449dd627d41ed5df0a	451	CDD	cd13432	LDT_IgD_like_2	159	260	1.0994299999999999e-51	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214997.1	8973072dba0ce5449dd627d41ed5df0a	451	FunFam	G3DSA:2.40.440.10:FF:000009	L,D-transpeptidase	264	400	1.4999999999999999e-92	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214997.1	8973072dba0ce5449dd627d41ed5df0a	451	CDD	cd16913	YkuD_like	264	384	1.52904e-16	T	08-02-2023	IPR005490	L,D-transpeptidase catalytic domain	GO:0016740	DOMAIN
NP_214997.1	8973072dba0ce5449dd627d41ed5df0a	451	CDD	cd13431	LDT_IgD_like_1	58	154	5.45748e-23	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214997.1	8973072dba0ce5449dd627d41ed5df0a	451	Pfam	PF17964	Bacterial Ig domain	76	260	3e-60	T	08-02-2023	IPR041280	Bacterial Ig domain, transpeptidase-associated	NaN	DOMAIN
NP_214997.1	8973072dba0ce5449dd627d41ed5df0a	451	SUPERFAMILY	SSF141523	L,D-transpeptidase catalytic domain-like	262	383	2.75e-19	T	08-02-2023	IPR038063	L,D-transpeptidase catalytic domain-like	NaN	HOMOLOGOUS_SUPERFAMILY
NP_214997.1	8973072dba0ce5449dd627d41ed5df0a	451	Pfam	PF03734	L,D-transpeptidase catalytic domain	265	383	8.4e-12	T	08-02-2023	IPR005490	L,D-transpeptidase catalytic domain	GO:0016740	DOMAIN
NP_218298.1	af020f7e680dccfd57ae5017bc91a127	273	FunFam	G3DSA:3.40.50.300:FF:001260	Putative ABC transporter ATP-binding component	42	272	0.0	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218298.1	af020f7e680dccfd57ae5017bc91a127	273	Pfam	PF00005	ABC transporter	53	183	1.4e-17	T	08-02-2023	IPR003439	ABC transporter-like, ATP-binding domain	GO:0005524	DOMAIN
NP_218298.1	af020f7e680dccfd57ae5017bc91a127	273	CDD	cd03220	ABC_KpsT_Wzt	9	239	1.29482e-95	T	08-02-2023	IPR015860	ABC transporter, teichoic acids export TagH-like	GO:0005524	DOMAIN
NP_218298.1	af020f7e680dccfd57ae5017bc91a127	273	CDD	cd03220	ABC_KpsT_Wzt	9	239	1.29482e-95	T	08-02-2023	IPR015860	ABC transporter, teichoic acids export TagH-like	GO:0016020	DOMAIN
NP_218298.1	af020f7e680dccfd57ae5017bc91a127	273	CDD	cd03220	ABC_KpsT_Wzt	9	239	1.29482e-95	T	08-02-2023	IPR015860	ABC transporter, teichoic acids export TagH-like	GO:0140359	DOMAIN
NP_218298.1	af020f7e680dccfd57ae5017bc91a127	273	PANTHER	PTHR46743	TEICHOIC ACIDS EXPORT ATP-BINDING PROTEIN TAGH	6	271	3.8e-91	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218298.1	af020f7e680dccfd57ae5017bc91a127	273	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	51	247	2.4899999999999998e-39	T	08-02-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase	NaN	HOMOLOGOUS_SUPERFAMILY
NP_214856.1	2e5f581f004519748151b5e57c3edb67	640	PANTHER	PTHR43681	TRANSMEMBRANE GTPASE FZO	56	631	2.0999999999999998e-94	T	08-02-2023	NaN	NaN	NaN	NaN
NP_214856.1	2e5f581f004519748151b5e57c3edb67	640	Pfam	PF00350	Dynamin family	73	220	1.8e-09	T	08-02-2023	IPR045063	Dynamin, N-terminal	NaN	DOMAIN
NP_214856.1	2e5f581f004519748151b5e57c3edb67	640	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	49	289	3.9400000000000003e-26	T	08-02-2023	IPR027417	P-loop containing nucleoside triphosphate hydrolase	NaN	HOMOLOGOUS_SUPERFAMILY
NP_218030.1	5282c34d0f7d63977682a1f7927f108c	218	FunFam	G3DSA:3.30.300.30:FF:000032	Fatty-acid-CoA ligase FadD19	104	212	6.4e-73	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218030.1	5282c34d0f7d63977682a1f7927f108c	218	Pfam	PF13193	AMP-binding enzyme C-terminal domain	116	191	2.5e-16	T	08-02-2023	IPR025110	AMP-binding enzyme, C-terminal domain	NaN	DOMAIN
NP_218030.1	5282c34d0f7d63977682a1f7927f108c	218	PANTHER	PTHR43201	ACYL-COA SYNTHETASE	58	191	5.1e-26	T	08-02-2023	NaN	NaN	NaN	NaN
NP_218030.1	5282c34d0f7d63977682a1f7927f108c	218	SUPERFAMILY	SSF56801	Acetyl-CoA synthetase-like	56	202	3.79e-39	T	08-02-2023	NaN	NaN	NaN	NaN
